Patient/Cell,IFNg-50ng - 15min,IFNg-50ng+IL6-50ng - 15min,IL10-50ng - 15min,IL2-50ng - 15min,IL4-50ng - 15min,IL6-50ng - 15min,TGFB-50ng - 15min,Untreated - 15min,Untreated - 15 min
Patient 19186-15-T3 - CD20 B,-0.023836666478742524,4.266628950106833e-05,0.3488896674472975,0.006995812234514645,0.04451714628467267,-0.00627587167411784,6.019081356676563e-06,0.0,0
Patient 19186-14 - CD20 B,0.09529035015089933,6.309993933380842e-05,0.8130475275468318,0.015619113073594369,0.025068116579561428,0.02665662990883726,0.02166651187337309,0.0,0
Patient 21368-3 - CD20 B,0.0680687335081426,8.358262380529609e-05,0.9999687526690018,0.04346675242029325,0.0887577598326558,0.12665677394622926,0.05071074440348094,0.0,0
Patient 21368-4 - CD20 B,0.11403119575100322,9.917121257096525e-05,1.0,-0.024737194201444244,0.010137429539262553,0.047739142149452254,-0.029780044231611222,0.0,0
Patient 406 - CD20 B,0.037176439643214716,0.04508687361043407,0.2357079194457282,0.022163573396924405,0.096790475354717,0.03712010970536186,2.6970987247180726e-06,0.0,0
Patient 26 - CD20 B Memory,0.049513324050064686,9.4934555429546e-05,0.7044285113160282,0.04370733865395134,0.0639905944088308,0.1716773564848228,0.05822325211804227,0.0,0
Patient 28 - CD20 B Memory,0.034041496300314826,9.395831936001319e-05,0.942836871976871,0.003300758235876157,0.030123877641467144,0.07448022383626814,-0.0002486857071200406,0.0,0
Patient 30 - CD20 B Memory,0.06282827144601276,0.00010964846559259828,1.0,0.013736358389090231,0.05266681313162925,0.06935266791152882,0.02483084602819177,0.0,0
Patient 34 - CD20 B Memory,0.033999063884327385,0.00014747391201613047,0.9953478990161196,-0.03345250496379412,0.01385853543421703,0.08873417769723366,-0.0368893091422251,0.0,0
Patient 35 - CD20 B Memory,-0.05113733162691978,0.05461795254406619,0.8953564173751348,-0.04242855004658827,-0.032548538021953906,0.06697170447128133,-0.037110826125877294,0.0,0
Patient 43 - CD20 B Memory,0.05590741518888172,0.03143802139408618,1.0,0.005297257503464123,0.05789578573955505,-0.006657310667426599,0.01782199682782309,0.0,0
Patient 44 - CD20 B Memory,-0.05423238726943446,-0.09948394650886401,0.9790846775033579,-0.08218606762562794,-0.084770805863303,-0.07709821607064617,-0.12570778738700666,0.0,0
Patient 45 - CD20 B Memory,-0.05466464768200687,-0.10506024718423054,0.9374036184950473,-0.07071419946042498,0.01007871166317677,-0.043474805032193836,-0.11401139387723967,0.0,0
Patient 52 - CD20 B Memory,-0.040739465156021,0.020837716260544228,0.8283029990181335,-0.10913045249419656,-0.06159947554105894,0.02331810848781239,-0.1008177275933394,0.0,0
Patient 52A - CD20 B Memory,0.08190904900193723,7.29187178807659e-05,0.6408093705774306,0.0318764718384252,0.05074638434111161,0.06776031258002294,0.0156259327585133,0.0,0
Patient 54 - CD20 B Memory,0.020055825718677023,0.03703951636056395,1.0,0.009768779720141228,0.030496436816614507,0.03538597590178176,-0.0058681965933069895,0.0,0
Patient 56 - CD20 B Memory,0.027918554863394122,-0.08382603122719474,0.8457485196781677,-0.12328047380450553,-0.02320577314080244,0.025763658337407826,-0.15060865097298476,0.0,0
Patient 58 - CD20 B Memory,0.05408972678624236,0.03615472077406448,1.0,-0.0007013988012745682,0.07056189437817764,0.049512224363094555,0.009001986157844326,0.0,0
Patient 60 - CD20 B Memory,0.011400482050387543,0.00010675899679953256,0.9882322773223603,-0.020891324152434047,0.005492584456034747,0.04318353133881988,-0.03840686699097726,0.0,0
Patient 61 - CD20 B Memory,0.030883709256674854,0.00010501864001817232,0.9559861208568082,-0.032944950638098554,0.0008679369138421798,0.08151725511111836,-0.011047970668012018,0.0,0
Patient 62 - CD20 B Memory,0.04660493650861624,0.000105083934610589,0.9527992503119186,-0.01965034186561066,0.014508142505807788,0.025228895362061684,-0.026640722814925275,0.0,0
Patient 63 - CD20 B Memory,0.050207884212918316,0.04257007002009303,0.8330533390503368,0.03052615263417277,0.12899026259753688,0.08561870867648419,-0.014009758133349268,0.0,0
Patient 66 - CD20 B Memory,0.11948976174318894,0.09974503317101556,0.9688308800760111,0.05021077789036555,0.08191971850175457,0.1085214675954953,0.0715921627351145,0.0,0
Patient 68 - CD20 B Memory,0.023174292580059788,0.00010966951246693888,1.0,0.005835101943333722,0.049922390200963014,0.07419774088878513,0.004206102343995462,0.0,0
Patient 69 - CD20 B Memory,0.08246705189661808,7.831781083420406e-05,0.6859992958546902,-0.023071621079048827,-0.004885282254424597,0.06405137100155103,0.04445540579871027,0.0,0
Patient 70 - CD20 B Memory,0.09405957117316902,0.14254492115517606,1.0,0.05121025902353059,0.10718910633652526,0.1232843099342534,0.04057472660137659,0.0,0
Patient 79 - CD20 B Memory,0.11791946848335001,0.14524263181516264,0.7122111156048786,0.008790875689356364,-0.06586601655029567,0.06262136159427736,0.0050082792356991495,0.0,0
Patient 19186-2 - CD20 B Memory,0.023527846885912335,0.0001015849047163853,0.8350853280580912,0.028119941793432565,0.052456862332678364,0.06626578958144665,0.0009794867122151201,0.0,0
Patient 19186-3 - CD20 B Memory,0.01576952193299025,9.846546520545874e-05,1.0,-0.016160894078169875,-0.01784788617114685,0.04348711061629275,-0.04200977504919832,0.0,0
Patient 19186-4 - CD20 B Memory,0.041651688153303286,0.09796066217701938,0.5024177178338951,4.226527842925474e-05,0.05536338811005668,0.005460419986948393,2.731964962760207e-06,0.0,0
Patient 19186-8 - CD20 B Memory,0.07210839084036332,0.10097874166088003,0.3266831779853908,0.08338308972258533,0.017946756342961976,0.11805835303473845,8.844908149882738e-07,0.0,0
Patient 19186-10-T1 - CD20 B Memory,-0.0166106045414358,7.004121833900467e-05,0.7518336828705143,-0.033877265745105134,-0.03692708369292654,0.048743714979663726,5.329336420097477e-06,0.0,0
Patient 19186-10-T2 - CD20 B Memory,0.009951426110470944,6.644743389467575e-05,0.7797399435071705,0.004040506131613321,0.07134553749402325,0.02979228826344637,5.137489940447114e-06,0.0,0
Patient 19186-10-T3 - CD20 B Memory,-0.0047720252481436905,6.397027876103853e-05,0.6622053931258045,0.010834916218035064,0.031300768505661755,0.04724366271514079,6.270582272956074e-06,0.0,0
Patient 19186-15-T1 - CD20 B Memory,-0.012327415612794468,6.491327007390873e-05,0.5967562852832823,-0.01232507937719028,0.023173911834725402,0.05506788036164755,5.179874782342805e-06,0.0,0
Patient 19186-15-T2 - CD20 B Memory,0.013922376787296319,7.483497699894272e-05,0.6055525377772091,-0.05422072828747671,-0.08693094206514083,0.2228752245094168,1.1523683979453619e-05,0.0,0
Patient 19186-15-T3 - CD20 B Memory,-0.002704342036628111,8.145130360050075e-05,0.8543533801509705,0.01653621285180742,0.023668114566566895,0.06866070579707641,9.610801479461074e-06,0.0,0
Patient 19186-14 - CD20 B Memory,0.053871466244703514,7.585718193078377e-05,1.0,0.04818012098712089,-0.03210348965759243,0.016705384335368105,0.00446488894288342,0.0,0
Patient 21368-3 - CD20 B Memory,0.03401584959352532,7.980528756007628e-05,1.0,0.03866544052163782,0.04286465246240208,0.08115241743482594,0.03418565026566095,0.0,0
Patient 21368-4 - CD20 B Memory,-0.0034177752470300753,0.00010270089105570224,1.0,-0.0337782421877407,-0.04254785213322183,0.011586757537552703,-0.023659973056244194,0.0,0
Patient 406 - CD20 B Memory,0.06688468266425779,0.0916650564150469,0.459380416144854,0.029301300670338072,0.12070804642560595,0.0826405590321458,2.78081275752509e-06,0.0,0
Patient 26 - CD20 B Naive,-0.01597436521602152,8.766569360199285e-05,0.7192153657380856,0.08856719876566892,0.1065596535305782,0.07601543572631793,0.11019997419030567,0.0,0
Patient 28 - CD20 B Naive,0.05393110909078507,8.165225080193217e-05,0.8623973688839441,0.01524796881783169,0.09419506048278826,0.07187036767054453,0.009493078244376377,0.0,0
Patient 30 - CD20 B Naive,0.06664816399708975,9.464527541275156e-05,0.876029702102986,0.021814776265774022,0.14788664470909368,0.06169949053644997,0.0176596016944834,0.0,0
Patient 34 - CD20 B Naive,0.05756721252385629,0.00010665510835884618,0.7974423905227934,-0.020639980615962523,0.09647791192014324,0.04300397246459567,-0.013368913361491932,0.0,0
Patient 35 - CD20 B Naive,-0.04113029229726821,-0.009862340797343164,0.7315072140600762,-0.055932364628458374,0.004202650723926164,-0.007981013033561834,-0.054782737564196965,0.0,0
Patient 43 - CD20 B Naive,0.07704747439633068,0.009392704987756373,1.0,0.025463364728737014,0.2319662693674146,0.003778582505382985,0.007285054324091743,0.0,0
Patient 44 - CD20 B Naive,-0.05261559517317042,-0.10026591874266172,0.7332144692658833,-0.12090356575400793,-0.032962104628474265,-0.11190592109708751,-0.13993184036231215,0.0,0
Patient 45 - CD20 B Naive,-0.08575589190342088,-0.07272408628535605,0.39293652140732377,-0.1832969275917044,-0.061736907061205874,-0.1284393929715811,-0.1727414238167137,0.0,0
Patient 52 - CD20 B Naive,-0.17833397753778402,-0.1847078811665184,0.8609601265212068,-0.3271808387203342,-0.20916009340950376,-0.03986060451620702,-0.15874659890974688,0.0,0
Patient 52A - CD20 B Naive,0.10886215665438732,7.315473348572555e-05,0.6773433806957951,0.041464514103929824,0.07523914543324893,0.04552586945066902,0.019792965650027028,0.0,0
Patient 54 - CD20 B Naive,-0.026013631607496385,-0.026943430389920527,0.9559473277445302,-0.008030710178391288,0.1699875539198039,-0.0248349683441876,-0.05215009707458887,0.0,0
Patient 56 - CD20 B Naive,-0.037310081953964666,-0.14153264191568896,0.737386904329441,-0.13799519105890737,0.04770345425198214,-0.08968299052468562,-0.1970249169484823,0.0,0
Patient 58 - CD20 B Naive,0.06823615071180678,0.05261390857068689,0.8661647691297504,0.006944190921560175,0.25472565525963864,0.05605076733535413,0.029050724795839616,0.0,0
Patient 60 - CD20 B Naive,-0.008967636046179476,9.802510738697964e-05,0.9143780875462643,-0.04517104273845881,0.031180627679400517,-0.003200920701902706,-0.09033637380313414,0.0,0
Patient 61 - CD20 B Naive,0.05890055123837318,9.334865570207227e-05,0.8543646518852985,-0.001999966508985237,0.06867099674860527,0.03425454801006743,-0.008408868515366253,0.0,0
Patient 62 - CD20 B Naive,0.0329286481406224,9.364785645582792e-05,0.7665863211389038,-0.034119734236037556,0.07369217332535867,-0.017826667649597092,-0.06499927226892976,0.0,0
Patient 63 - CD20 B Naive,0.028882701005394248,-0.02902266192752915,0.563115820279992,0.015921518264653867,0.15304054440422182,0.04302197324774612,-0.04562495862510036,0.0,0
Patient 66 - CD20 B Naive,0.16063508617624594,0.0948700358407292,0.802401103171077,0.05796947587123986,0.1906525185763678,0.10516640484085643,0.12487010671481466,0.0,0
Patient 68 - CD20 B Naive,-0.02925139649154595,9.562636905825768e-05,0.8756530164418186,-0.05424484069263512,0.018230128200286518,-0.011431505919290753,-0.07821306699773417,0.0,0
Patient 69 - CD20 B Naive,0.1434109187337818,7.349674187928986e-05,0.6939015946918137,-0.016459018652657535,0.06188094751743177,0.17033130295074977,0.17699733541086887,0.0,0
Patient 70 - CD20 B Naive,0.13701695191094007,0.09320297926257919,1.0,0.07957303321078732,0.2143099101244771,0.09005282794321913,0.03071785907496592,0.0,0
Patient 79 - CD20 B Naive,0.15729704678472642,0.06770808439505129,0.6601395422484804,-0.07508775440750753,-0.0804430068403474,0.02507730785256894,-0.029960514693111964,0.0,0
Patient 19186-2 - CD20 B Naive,-0.007759551990812865,0.00010098820556058437,0.740893906326126,-0.04108943017901668,0.01558645383224419,0.006534155244023613,-0.10044950193840428,0.0,0
Patient 19186-3 - CD20 B Naive,0.012143455955623607,9.225872266414362e-05,0.8574878706324226,-0.06284805225865453,0.000656925289476187,-0.012265793708917961,-0.10791948519400897,0.0,0
Patient 19186-4 - CD20 B Naive,0.022481851909609097,0.057554393800086,0.2676272549162638,0.018560126452793233,0.12049391446460107,0.03916956866050146,2.814178212332628e-06,0.0,0
Patient 19186-8 - CD20 B Naive,0.052122800797657895,0.04154556572535698,0.17336188098656136,0.05320363986666201,0.0642915319152513,0.053600136162072126,8.843321377989258e-07,0.0,0
Patient 19186-10-T1 - CD20 B Naive,-0.02220087392394882,4.7994792231990156e-05,0.38911275532023754,-0.026780593101150857,0.07441782951082175,0.00853246562106502,4.819666994386384e-06,0.0,0
Patient 19186-10-T2 - CD20 B Naive,0.0062613751085000575,4.5172899328867575e-05,0.41282124722827085,0.008476380312007417,0.14862442646282698,0.01817686345174948,4.7969933986912525e-06,0.0,0
Patient 19186-10-T3 - CD20 B Naive,-0.0030173018334658354,6.562392950138849e-05,0.4170597813123442,0.0673172569728489,0.1241363886078346,0.05151563108403274,7.419327141089435e-06,0.0,0
Patient 19186-15-T1 - CD20 B Naive,-0.016135044459659426,4.584850546659703e-05,0.30879967708691597,-0.0039674115606420255,0.07545188709997891,-0.013263115256478173,4.417933870543683e-06,0.0,0
Patient 19186-15-T2 - CD20 B Naive,0.08420083821188509,5.6301867514911254e-05,0.3879381884877625,0.021553619722702328,0.09093219867593863,0.30068146634682746,9.924746975953163e-06,0.0,0
Patient 19186-15-T3 - CD20 B Naive,-0.026571051236526765,4.094008616325364e-05,0.3371436413079607,0.00418740337675765,0.04298863668625886,-0.009289762969574117,5.90514895945277e-06,0.0,0
Patient 19186-14 - CD20 B Naive,0.09752111769527971,5.996036829184718e-05,0.792741830321162,0.030250715020087422,0.03883235009008046,0.04015336205261056,0.014869022901585796,0.0,0
Patient 21368-3 - CD20 B Naive,0.05986774397179458,7.834766198255287e-05,0.9347118266824995,0.03944985825026074,0.08577783105339651,0.11837899820213729,0.04740995525195603,0.0,0
Patient 21368-4 - CD20 B Naive,0.11542429922322064,9.836146144914539e-05,1.0,-0.025807213347969708,0.021388512900701945,0.05221126179906291,-0.029439761941093087,0.0,0
Patient 406 - CD20 B Naive,0.03029789982908414,0.03859313669388383,0.20811102081973729,0.019049450111463466,0.09152249983122084,0.029938159741788265,2.5644728081315665e-06,0.0,0
Patient 26 - CD33 Myeloid,0.07041831888281974,5.498552590103622e-05,0.6286177258396092,0.008749662918779124,0.023432030433618273,0.1578554665119242,0.01910054181546705,0.0,0
Patient 28 - CD33 Myeloid,0.09003804277269249,6.269735946995273e-05,0.7358550985914991,-0.017451700552599366,0.02766818140775827,0.007225369559618811,0.0025081485457164867,0.0,0
Patient 30 - CD33 Myeloid,0.12981305184584324,9.288348166400202e-05,0.8887233499335428,0.021688480480449242,0.02819584252529243,0.01521510524553106,-0.01639566830217482,0.0,0
Patient 34 - CD33 Myeloid,0.07357636762346914,7.381055950258514e-05,0.39182320067927384,-0.03441842679778263,-0.034295738433727796,0.02225078107521351,-0.004909042912053896,0.0,0
Patient 35 - CD33 Myeloid,0.18990270565815975,0.31487628234722126,1.0,-0.0012431604496671743,0.07197634087527562,0.2189587956839585,0.06118296328868247,0.0,0
Patient 43 - CD33 Myeloid,0.21862065406707856,0.037974635883033334,0.4359143173877161,0.11542484217918574,0.10752600612031155,0.0688005801793816,0.06431329099997654,0.0,0
Patient 44 - CD33 Myeloid,0.273602715553489,0.14721309721934472,0.8840372799183392,0.13375079907794163,0.20684995338166187,0.18263406063437182,0.1190705239969582,0.0,0
Patient 45 - CD33 Myeloid,0.3101894161829844,0.22922933823967923,0.9094620840485984,0.15866031914409032,0.19721772497669507,0.23802977354456134,0.08004922741162225,0.0,0
Patient 52 - CD33 Myeloid,-0.007893248163291561,0.0667801851305102,0.9674736935500541,-0.07014818541286127,-0.05386455421272715,-0.02289790870930332,-0.07988788406352064,0.0,0
Patient 52A - CD33 Myeloid,-0.2944361626003959,4.116700735966593e-05,0.37185637793098053,-0.19075420487070355,-0.10209025244946612,-0.19401436092886362,-0.08109173312365242,0.0,0
Patient 54 - CD33 Myeloid,0.216630261820192,0.32760017433568434,0.915079656825079,-0.009620020341565462,0.013030409491946672,0.14757048587708918,-0.015174802714023387,0.0,0
Patient 56 - CD33 Myeloid,0.04112180277929766,0.01780746911086895,0.688822926874158,-0.1384794418528642,-0.06660195065365279,-0.011157817428348128,-0.16124869410708265,0.0,0
